MANUFACTURER_ID,PRODUCT_ID
1902,189776
1902,189779
1902,189781
1902,189782
1902,189783
1902,189784
1902,189792
1902,189802
1902,189804
1902,189807
1902,189809
1902,189810
1902,189815
1902,189819
1902,189821
1902,189824
1902,189826
1231,189829
1231,189835
1231,189838
1231,189845
1231,189850
1231,189851
5157174,189859
5157174,189861
5157174,189872
5157174,189873
5157174,189876
5157174,189878
5157174,189885
5157174,189887
5157174,189889
5157174,189892
5157174,189896
5157174,189898
5157174,189901
5157174,189905
5157174,189906
5157174,189907
5157174,189908
5157174,189913
5157174,189915
5157174,189917
5157174,189924
28299,189931
28299,189934
28299,189936
28299,189938
28299,189944
28299,189947
28299,189951
28299,189955
28299,189956
28299,189959
4540,189970
4540,189973
4540,189974
4540,189977
4540,189980
4540,189983
4540,189987
4540,189992
4540,189995
4540,189998
4540,190009
4540,190011
4540,190017
4540,190019
4540,190020
4540,190024
4540,190027
4540,190028
4540,190031
4540,190032
4540,190034
4540,190035
4540,190043
28617,190052
28617,190057
28617,190060
28617,190061
28617,190069
28617,190074
28617,190075
28617,190078
28617,190079
28617,190083
28617,190085
28617,190087
28617,190091
28617,190092
28617,190095
28617,190098
28617,190099
28617,190100
4503,190114
4503,190116
4503,190118
4503,190124
4503,190125
4503,190129
4503,190130
4503,190132
4503,190135
4503,190139
4503,190141
4503,190148
4503,190150
4503,190151
4503,190153
4503,190156
4503,190161
4503,190167
4503,190168
4503,190170
14531,190226
14531,190230
14531,190231
14531,190232
14531,190237
14531,190238
14531,190239
14531,190242
14531,190244
14531,190245
14531,190246
4603,190304
4603,190308
4603,190310
4603,190314
4603,190315
4603,190317
4603,190323
4603,190333
4603,190341
4603,190345
4603,190349
4603,190350
4603,190355
4603,190356
4603,190357
4603,190359
4603,190361
4603,190363
4603,190364
4603,190369
4603,190372
4603,190373
4603,190376
4603,190382
408624,190388
408624,190392
408624,190393
408624,190397
408624,190399
408624,190406
408624,190409
408624,190410
408624,190411
408624,190416
408624,190424
408624,190425
408624,190431
408624,190448
408624,190451
408624,190460
408624,190461
408624,190465
408624,190470
408624,190472
408624,190474
408624,190475
2907557,190477
2907557,190479
2907557,190490
2907557,190491
2907557,190493
2907557,190494
2907557,190495
2907557,190503
2907557,190504
2907557,190507
2907557,190510
2907557,190511
2907557,190512
2907557,190516
2907557,190517
2907557,190519
2907557,190524
2907557,190528
2907557,190529
2907557,190533
2907557,190534
28288,190541
28288,190543
28288,190544
28288,190545
28288,190550
28288,190552
28288,190554
28288,190556
28288,190563
28288,190567
28288,190573
28288,190574
28288,190581
28288,190582
28288,190584
1231,190586
1231,190588
1231,190590
1231,190592
1231,190598
1231,190599
1231,190603
1231,190610
1231,190613
1231,190616
1231,190625
1231,190628
1231,190632
1231,190634
1231,190636
1231,190640
1231,190642
1231,190643
1231,190647
1231,190648
32654,190651
32654,190654
32654,190659
32654,190670
32654,190671
32654,190674
32654,190682
32654,190683
32654,190690
32654,190694
32654,190695
32654,190696
32654,190699
32654,190705
32654,190707
32654,190708
32654,190709
32654,190713
32654,190715
32654,190717
32654,190719
32654,190723
32654,190725
34100,190752
34100,190753
34100,190755
34100,190759
34100,190760
34100,190763
34100,190766
34100,190772
34100,190775
34100,190779
34100,190781
34100,190786
34100,190788
34100,190795
34100,190797
34100,190798
34100,190804
34100,190805
34100,190813
34100,190815
34100,190817
34100,190819
34100,190825
34100,190827
3019,190844
3019,190849
3019,190853
3019,190863
3019,190864
3019,190871
3019,190875
3019,190876
3019,190877
3019,190881
3019,190884
3019,190885
3019,190887
3019,190888
3019,190891
3019,190893
3019,190896
3019,190898
3019,190899
4614,190901
4614,190902
4614,190903
4614,190905
4614,190909
4614,190910
4614,190914
4614,190919
4614,190921
4614,190927
4614,190929
4614,190930
4614,190932
4614,190942
4614,190947
4614,190951
4614,190953
4614,190954
4614,190955
4614,190957
4614,190959
13892,190973
13892,190982
408405,190988
408407,190989
408405,190990
408400,190994
408408,190996
408403,191002
408406,191004
13892,191005
408402,191006
408407,191009
408406,191013
408401,191016
408404,191019
408400,191021
408401,191022
408402,191027
408401,191029
408407,191031
408404,191035
28511,191041
28511,191049
28511,191054
28511,191057
28511,191062
28511,191063
28511,191067
28511,191068
28511,191072
28511,191074
28511,191075
28511,191077
28511,191078
28511,191079
28511,191080
28511,191086
3776,191091
3776,191094
3776,191097
3776,191098
3776,191102
3776,191105
3776,191118
3776,191120
3776,191122
3776,191123
3776,191124
3776,191128
3776,191130
3776,191134
3776,191136
3776,191138
3776,191142
3776,191144
4626,191189
4626,191192
4626,191199
4626,191200
4626,191208
4626,191210
4626,191214
4626,191216
4626,191223
4626,191225
4626,191227
4626,191228
4626,191233
4626,191235
4626,191236
4626,191238
4626,191240
4626,191241
4626,191250
4626,191253
34003,191257
4603,191258
191286,191265
191280,191273
4497,191274
191306,191277
191263,191287
25945,191289
191312,191294
4620,191295
34003,191296
4639,191299
191308,191307
4401,191311
4629,191314
25945,191315
4638,191320
34286,191326
34286,191331
4582,191332
191396,191347
4582,191348
191365,191350
4582,191355
16683,191356
191365,191357
16683,191359
34286,191362
16683,191370
408344,191371
34286,191376
191396,191378
191365,191390
408344,191398
3320,191401
3320,191403
3320,191408
3320,191412
3320,191417
3320,191419
3320,191420
3320,191424
3320,191425
3320,191429
3320,191430
3320,191434
3320,191437
3320,191438
3320,191440
3320,191445
3320,191447
3320,191448
3320,191450
3320,191452
3320,191453
3320,191458
3320,191462
3320,191463
3320,191471
4605,191487
4605,191488
4605,191490
4605,191491
4605,191496
4605,191497
4605,191500
4605,191517
4605,191519
4605,191526
4605,191527
4605,191529
4605,191530
4605,191531
4605,191535
4605,191536
4605,191537
4605,191538
4605,191541
4605,191542
4605,191544
4605,191546
4605,191552
4605,191555
4605,191557
4605,191559
18616,191564
18616,191573
18616,191575
18616,191576
18616,191583
18616,191584
18616,191588
18616,191590
18616,191593
18616,191595
18616,191600
18616,191601
18616,191602
18616,191603
18616,191605
18616,191611
18616,191615
18616,191621
18616,191622
8879,191626
8879,191628
8879,191633
8879,191644
8879,191649
8879,191650
8879,191653
8879,191656
408484,191658
408484,191661
408484,191662
408484,191667
408484,191669
408484,191671
408484,191678
408484,191679
408484,191681
408484,191682
408484,191686
408484,191688
408484,191697
408484,191701
408484,191702
408484,191703
408484,191705
408484,191706
408484,191712
408484,191715
408484,191726
408484,191731
408484,191733
408484,191739
408484,191748
408484,191749
408484,191750
408484,191754
4586,191762
4586,191766
4586,191773
4586,191774
4586,191775
4586,191784
4586,191788
4586,191790
4586,191792
4586,191797
4586,191798
4586,191800
4586,191805
4586,191808
4586,191810
4586,191811
4586,191814
31333,191816
28724,191818
4622,191825
191891,191831
191896,191832
191866,191837
408307,191842
28889,191853
191883,191855
191826,191856
191897,191858
191893,191859
4552,191861
4626,191862
4618,191868
28987,191875
28990,191877
191869,191881
191854,191882
191880,191888
191840,191890
408306,191892
191820,191901
191827,191902
28291,191907
28291,191913
28291,191914
28291,191921
28291,191927
28291,191935
28291,191937
28291,191939
28291,191941
28291,191942
28291,191944
28291,191945
28291,191947
197256,191948
197256,191954
